cod_unico,direccion,institucion,establecimiento,files,clasificacion,correo,longitud,latitud,pagina
00008943,AVENIDA AV ANGAMOS OESTE N° 300 AV ANGAMOS OESTE N° 300 MIRAFLORES LIMA LIMA,PRIVADO,SUIZA LAB - SEDE MIRAFLORES,"""http://maps.google.es/?q=-12.1135251%20-77.0314966,INSASU20191226141906.jpg,INSASU20240617122728.jpg,INSASU20240617122732.jpg,""",CENTROS DE SALUD O CENTROS MEDICOS,yjordan@suizalab.com,-77.0314966,-12.1135251,
00023249,AVENIDA LA ENCALADA NÚMERO 1090 DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,SUIZA LAB,"""http://maps.google.es/?q=-12.1056924%20-76.9709494,INSASU20191206094321.jpg,INSASU20191206094327.jpg,INSASU20191207100616.JPG,""",POLICLINICOS,yjordan@suizalab.com,-76.9709494,-12.1056924,https://www.suizalab.com/
00008325,AVENIDA AV. PASO DE LOS ANDES 675 DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLINICA CENTENARIO PERUANO JAPONESA,"""http://maps.google.es/?q=-12.0731243%20-77.059128,INSASU20190611110403.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ADMINISTRACION@CLINICAPJ.ORG.PE,-77.059128,-12.0731243,HTTP://WWW.APJ.ORG.PE
00008398,AVENIDA AV AURELIO MIROQUESADA 1030 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLINICA EL GOLF,"""http://maps.google.es/?q=-12.09783477%20-77.05120651,INSASU20201214165307.jpeg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ceg.comunicacionesoficiales@sanna.pe,-77.05120651,-12.09783477,http://www.sanna.pe/
00008445,JIRÓN JR. CAMANA 700 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,SOLIDARIDAD CAMANA,"""http://maps.google.es/?q=-12.0493589%20-77.035362,INSASU20250218114102.jpeg,INSASU20250218114105.jpeg,INSASU20250218114133.jpeg,""",POLICLINICOS,mesadepartesvirtual@sisol.gob.pe,-77.035362,-12.0493589,HTTP://WWW.SISOL.GOB.PE
00010668,AVENIDA AV. GREGORIO ESCOBEDO NO. 783 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,POLICLÍNICO PERUANO JAPONÉS,"""http://maps.google.es/?q=-12.087682%20-77.054784,INSASU20201022105016.jpg,""",POLICLINICOS,POLI@APJ.ORG.PE,-77.054784,-12.087682,https://www.policlinicoperuanojapones.org
00012633,AVENIDA AV. JAVIER PRADO ESTE 499 URB. JARDIN LIMA- SAN ISIDRO DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLINICA JAVIER PRADO,"""http://maps.google.es/?q=-12.090915%20-77.028305,INSASU20181102084145.jpg,INSASU20181102084147.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,direccionmedica@clinicajavierprado.com.pe,-77.028305,-12.090915,HTTP://WWW.CLINICAJAVIERPRADO.COM.PE/
00014501,AVENIDA AV. LA MARINA 2945-2949-2955-2965 MARANGA- SAN MIGUEL DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLINICA SAN GABRIEL,"""http://maps.google.es/?q=-12.0766644%20-77.0957206,INSASU20240620140511.jpg,INSASU20240620140539.jpg,INSASU20240620140547.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,clinicasangabriel@sanpablo.com.pe,-77.0957206,-12.0766644,HTTP://WWW.CLINICASANGABRIEL.COM.PE
00036675,AVENIDA IQUITOS NUMERO 600 DISTRITO LA VICTORIA PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,Clinica San Pablo La Victoria,"""http://maps.google.es/?q=-12.0660414%20-77.0305797,INSASU20241206101225.jpeg,INSASU20241206101230.jpeg,INSASU20241206101234.jpeg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,szegarra.sanpablo@gmail.com,-77.0305797,-12.0660414,https://www.sanpablo.com.pe/
00009988,CALLE CALLE LA CONQUISTA 145-URB. EL DERBY DE MONTERRICO DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLINICA SAN PABLO SAC,"""http://maps.google.es/?q=-12.1001824%20-76.9712723,INSASU20230302085925.jpeg,INSASU20230302085930.jpeg,INSASU20230302085935.jpeg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,JALVAREZ@SANPABLO.COM.PE,-76.9712723,-12.1001824,http://www.sanpablo.com.pe/
00009886,AVENIDA AV. GUARDIA CIVIL N° 337 AV. GUARDIA CIVIL N° 337 SAN BORJA LIMA LIMA,PRIVADO,CLINICA SAN BORJA,"""http://maps.google.es/?q=-12.0917981%20-77.0086722,INSASU20191016155911.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,CARLOS.MARTINEZ@SANNA.PE,-77.0086722,-12.0917981,HTTP://WWW.CLINICASANBORJA.COM.PE
00009409,AVENIDA AV. JAVIER PRADO ESTE 1066 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLINICA RICARDO PALMA,"""http://maps.google.es/?q=-12.09036833%20-77.01813667,INSASU20201116184218.jpg,INSASU20201116184220.jpg,INSASU20201116184223.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,DIRECCION@CRP.COM.PE,-77.01813667,-12.09036833,HTTP://WWW.CRP.COM.PE
00009682,AVENIDA AV. GUARDIA CIVIL Nº 385 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLÍNICA INTERNACIONAL,"""http://maps.google.es/?q=-12.09246393%20-77.00883127,INSASU20171219204029.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ysoto@cinternacional.com.pe,-77.00883127,-12.09246393,http://www.clinicainternacional.com.pe/
00012975,JIRÓN JR EDUARDO ORDOÑEZ 468 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CL ESPECIALIDADES MEDICAS,"""http://maps.google.es/?q=-12.1059423%20-77.0015215,INSASU20191207101656.jpg,INSASU20191207101659.jpg,INSASU20191207101701.jpg,""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,comunicaciones@especialidadesmedicas.org,-77.0015215,-12.1059423,HTTPS://WWW.ESPECIALIDADESMEDICAS.ORG/
00013591,AVENIDA AVENIDA BRASIL CUADRA 26 S/N NÚMERO S/N DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,HOSPITAL NACIONAL POLICIA NACIONAL DEL PERU GRAL PNP LUIS N. SAENZ.,"""""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTADOMAYORHNLNSPNP@GMAIL.COM,,,
00015610,JIRÓN JR. WASHINGTON 1471 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,Clínica Internacional - Sede Lima,"""http://maps.google.es/?q=-12.05836675%20-77.03836239,INSASU20170926171457.jpg,INSASU20170926171212.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,nparedes@cinternacional.com.pe,-77.03836239,-12.05836675,https://www.clinicainternacional.com.pe/
00019049,AVENIDA AV ANGAMOS OESTE N°450-490 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,AUNA CLÍNICA DELGADO,"""http://maps.google.es/?q=-12.1140163%20-77.0325176,INSASU20240223180505.jpg,INSASU20240223180514.jpg,INSASU20240223180526.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,SSANTIAGO@AUNA.PE,-77.0325176,-12.1140163,https://www.clinicadelgado.pe
00024299,JIRÓN El Polo 461 – 473- 455 NÚMERO 461 URBANIZACIÓN El Derby de Monterrico DISTRITO SANTIAGO DE SURCO PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLINICA INTERNACIONAL - SEDE SURCO,"""http://maps.google.es/?q=-12.10386453%20-76.97278372,INSASU20190819114149.JPG,""",POLICLINICOS,nparedes@cinternacional.com.pe,-76.97278372,-12.10386453,http://www.clinicainternacional.com.pe
00027320,AVENIDA Guardia Civil NUMERO 368 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLINICA AUNA SEDE GUARDIA CIVIL,"""http://maps.google.es/?q=-12.09189611%20-77.00903512,INSASU20230906161623.jpg,INSASU20190911161536.jpg,INSASU20241122112028.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,sabrina.santiago@auna.org,-77.00903512,-12.09189611,
00021014,AVENIDA AV. HUAYLAS 149- 161 DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,SEMEGUA SAC,"""http://maps.google.es/?q=-12.1664915%20-77.026399,INSASU20181217102308.jpg,""",POLICLINICOS,equipodegestion@semegua.net,-77.026399,-12.1664915,HTTP://www.semegua.net
00005617,AVENIDA ENTRE PARADERO 10 Y 11 DE AV. CANTO GRANDE (HUASCAR) DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,HOSPITAL SAN JUAN DE LURIGANCHO,"""http://maps.google.es/?q=-11.9665774%20-77.0030573,INSASU20191115153153.JPG,INSASU20191115153159.JPG,INSASU20191115153202.JPG,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,DIRECCION.EJECUTIVA@HOSPITALSJL.GOB.PE,-77.0030573,-11.9665774,HTTP://WWW.GOB.PE/HSJL
00006207,AVENIDA AV. ALFONSO UGARTE 848 AV. ALFONSO UGARTE 848 LIMA LIMA LIMA,PUBLICO,HOSPITAL NACIONAL ARZOBISPO LOAYZA,"""http://maps.google.es/?q=-12.0498454%20-77.0425597,INSASU20191129114822.JPG,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,eyong@hospitalloayza.gob.pe,-77.0425597,-12.0498454,http://www.hospitalloayza.gob.pe
00006208,JIRÓN JR. ANTONIO MIROQUESADA Nº 941 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,INSTITUTO NACIONAL MATERNO PERINATAL,"""http://maps.google.es/?q=-12.0529163%20-77.0221718,INSASU20231012144443.jpg,INSASU20231012144448.jpg,INSASU20231012144453.jpg,""",INSTITUTOS DE SALUD ESPECIALIZADOS,DIRECCIONGENERAL@IEMP.GOB.PE,-77.0221718,-12.0529163,HTTP://WWW.INMP.GOB.PE
00006209,JIRÓN JR. ANCASH 1271 - LIMA DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,"""http://maps.google.es/?q=-12.0462295%20-77.0156898,INSASU20220711131046.jpg,INSASU20220711131054.jpg,INSASU20220711131058.jpg,""",INSTITUTOS DE SALUD ESPECIALIZADOS,direccionegeneral@incn.gob.pe,-77.0156898,-12.0462295,HTTP://WWW.ICN.MINSA.GOB.PE
00006210,"AVENIDA AV.  ANGAMOS ESTE Nº 2520, URB. CALERA DE LA MERCED DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA",PUBLICO,INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS,"""http://maps.google.es/?q=-12.1117911%20-76.9991488,INSASU20220607163844.jpg,INSASU20220607163849.jpg,INSASU20220607163855.jpg,""",INSTITUTOS DE SALUD ESPECIALIZADOS,mesadepartesj@inen.sld.pe,-76.9991488,-12.1117911,https://portal.inen.sld.pe/
00006212,AVENIDA AV GRAU 854 - PROLONG JR HUAMANGA 147 AV GRAU 854 - PROLONG JR HUAMANGA 147 LA VICTORIA LIMA LIMA,PUBLICO,HOSPITAL DE EMERGENCIAS PEDIATRICAS,"""http://maps.google.es/?q=-12.0581708%20-77.0217293,INSASU20190205113412.jpg,""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,mesadepartesvirtualhep@hep.gob.pe,-77.0217293,-12.0581708,HTTP://WWW.HEP.GOB.PE
00006215,AVENIDA AV ALFONSO UGARTE Nº 825 LIMA CERCADO - ANEXO : JR.CHOTA 748 825 FRENTE AL HOSPITAL ARZOBISPO LOAYZA LIMA LIMA LIMA,PUBLICO,HOSPITAL NACIONAL DOCENTE MADRE NIÑO SAN BARTOLOME,"""http://maps.google.es/?q=-12.0499179%20-77.0423608,INSASU20181228094221.jpg,INSASU20181228113354.jpg,INSASU20181228113357.jpg,""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,comunicaciones@sanbartolome.gob.pe,-77.0423608,-12.0499179,http://www.sanbartolome.gob.pe/
00007632,AVENIDA AV. SAENZ PEÑA - CUADRA 6 S/N S/N AV. SAENZ PEÑA - CUADRA 6 S/N PUENTE PIEDRA LIMA LIMA,PUBLICO,HOSPITAL CARLOS LANFRANCO LA HOZ,"""http://maps.google.es/?q=-11.8631805%20-77.079335,INSASU20190528110309.jpg,INSASU20190528110316.jpg,INSASU20190528110322.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,webmaster@hcllh.gob.pe,-77.079335,-11.8631805,http://www.hcllh.gob.pe
00007634,AVENIDA AV. TUPAC AMARU KM. 14.5 AV. TUPAC AMARU KM. 14.5 COMAS LIMA LIMA,PUBLICO,HOSPITAL SERGIO E. BERNALES,"""http://maps.google.es/?q=-11.9138337%20-77.0395181,INSASU20181213111316.jpg,INSASU20181213111321.JPG,INSASU20181213111325.JPG,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,direccion@hnseb.gob.pe,-77.0395181,-11.9138337,HTTP://www.hnseb.gob.pe
00008292,AVENIDA AVENIDA ESCUELA MILITAR S/N CHORRILLOS NUMERO S/N DISTRITO CHORRILLOS PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,"CENTRO MEDICO DE LA ESCUELA MILITAR DE CHORRILLOS ""CORONEL FRANCISCO BOLOGNESI""","""http://maps.google.es/?q=-12.1601295%20-77.0189409,INSASU20171227215626.jpg,INSASU20240605144053.jpeg,INSASU20240605144102.jpeg,""",CENTROS DE SALUD O CENTROS MEDICOS,cmemch1500@gmail.com,-77.0189409,-12.1601295,HTTP://WWW.EJERCITO.MIL.PE
00008318,CARRETERA CARRETERA CENTRAL KM. 3.5 Nº 1351 CARRETERA CENTRAL KM. 3.5 Nº 1351 SANTA ANITA LIMA LIMA,PUBLICO,ESSALUD - HOSPITAL I JORGE VOTO BERNALES CORPANCHO,"""http://maps.google.es/?q=-12.04742267%20-76.94735173,INSASU20180104143326.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,GLORIA.VALENCIA@ESSALUD.GOB.PE,-76.94735173,-12.04742267,HTTP://WWW.ESSALUD.GOB.PE
00008353,JIRÓN JR. SAN MARTIN DE PORTES 265 DISTRITO ATE PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,HOSPITAL II VITARTE - ESSALUD,"""http://maps.google.es/?q=-12.02704336%20-76.92369527,INSASU20220511160520.jpg,INSASU20220511160534.jpg,INSASU20220511160555.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,edgard.miguel@essalud.gob.pe,-76.92369527,-12.02704336,
00008502,AVENIDA AVENIDA GRAU N° 351 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,HOSPITAL DE EMERGENCIAS GRAU,"""http://maps.google.es/?q=-12.0589571%20-77.0312779,INSASU20221130204436.jpg,INSASU20221130204441.jpeg,INSASU20221130204445.jpeg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,henry.sanchezl@essalud.gob.pe,-77.0312779,-12.0589571,http://portal.essalud.gob.pe/
00008720,JIRÓN EDGARDO REBAGLIATI 490 JESUS MARIA LIMA LIMA,PUBLICO,HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS,"""http://maps.google.es/?q=-12.0798682%20-77.0402713,INSASU20230210113050.jpg,INSASU20230210113345.jpg,INSASU20230210113436.jpg,""",INSTITUTOS DE SALUD ESPECIALIZADOS,consultamesadepartes@essalud.gob.pe,-77.0402713,-12.0798682,HTTP://WWW.ESSALUD.GOB.PE
00009188,JIRÓN JIRÓN GUILLERMO DANSEY Nº 390 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,HOSPITAL II RAMON CASTILLA,"""http://maps.google.es/?q=-12.0443408%20-77.0440331,INSASU20171109104821.jpg,INSASU20171109104829.jpg,INSASU20171109104833.jpg,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,guillermo.barrios@essalud.gob.pe,-77.0440331,-12.0443408,HTTP://WWW.ESSALUD.GOB.PE
00010318,"JIRÓN JR. LOS JILGUEROS 102-104, URBANIZACIÓN SANTA ANITA DISTRITO SANTA ANITA PROVINCIA LIMA DEPARTAMENTO LIMA",PRIVADO,CENTRO MEDICO MAYO,"""http://maps.google.es/?q=-12.0509548%20-76.9654572,INSASU20201024181548.JPG,INSASU20201024181611.JPG,""",CENTROS DE SALUD O CENTROS MEDICOS,salud@centromedicomayo.com.pe,-76.9654572,-12.0509548,
00010467,JIRÓN JR ALEXANDER FLEMING 103 URB SAN BORJA SUR DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLINICA FLEMING,"""""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,SISTEMAS@CLINICAFLEMING.COM.PE,,,
00010515,AVENIDA AV. GUARDIA CIVIL 301 AV. GUARDIA CIVIL 301 SAN BORJA LIMA LIMA,PRIVADO,CLINICA SANTA LUCIA S.A.C.,"""""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ADMINISTRACION@CLINICA-SANTALUCIA.COM,,,
00010751,AVENIDA AV. ARAMBURU 2DA. CUADRA S/N NUMERO S/N DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,HOSPITAL CENTRAL DE LA FUERZA AEREA DEL PERU,"""http://maps.google.es/?q=-12.10342333%20-77.029825,INSASU20180222114454.JPG,INSASU20241112094310.JPG,INSASU20241112094318.JPG,""",HOSPITALES O CLINICAS DE ATENCION GENERAL,hospi_mespa@fap.mil.pe,-77.029825,-12.10342333,HTTP://WWW.FAP.MIL.PE
00012340,AVENIDA AV. PROCERES DE LA INDEPENDENCIA S/N (DENTRO DEL PARQUE ZONAL HUIRACOCHA) NÚMERO S/N DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,SISTEMA METROPOLITANO DE LA SOLIDARIDAD SAN JUAN DE LURIGANCHO,"""http://maps.google.es/?q=-12.0085642%20-77.0035429,INSASU20200814150522.jpeg,""",POLICLINICOS,cesar.sotelo@sisol.gob.pe,-77.0035429,-12.0085642,HTTP://WWW.SISOL.GOB.PE
00014548,AVENIDA AV GERARDO UNGER CUADRA 16 S/N NÚMERO S/N DISTRITO RIMAC PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,SISTEMA METROPOLITANO DE LA SOLIDARIDAD METRO UNI,"""http://maps.google.es/?q=-12.01288243%20-77.05216177,INSASU20191007162011.jpg,""",POLICLINICOS,olger.ortega@sisol.gob.pe,-77.05216177,-12.01288243,HTTP://WWW.SISOL.GOB.PE
00014575,AVENIDA AV. PASTOR SEVILLA S/N OVALO COCHARCAS NÚMERO S/N DISTRITO VILLA EL SALVADOR PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,SISTEMA METROPOLITANO DE LA SOLIDARIDAD  SISOL VILLA EL SALVADOR,"""http://maps.google.es/?q=-12.06819767%20-77.02039159,INSASU20181227185630.jpg,INSASU20181227185634.jpg,""",POLICLINICOS,susalud.renipress@sisol.gob.pe,-77.02039159,-12.06819767,HTTP://WWW.SISOL.GOB.PE
00015077,AVENIDA AVENIDA BRASIL 2746 DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,LIGA CONTRA EL CÁNCER,"""http://maps.google.es/?q=-12.0848305%20-77.0621073,INSASU20201123173641.jpeg,""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,LIGACANCER@LIGACANCER.ORG.PE,-77.0621073,-12.0848305,HTTP://WWW.LIGACANCER.ORG.PE
00016121,CALLE CALLE LEONIDAS AVENDAÑO Nº 116 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLÍNICA AVENDAÑO,"""http://maps.google.es/?q=-12.1311497%20-77.0245336,INSASU20230512121250.jpg,""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,acastro@clinicaavendanoperu.com,-77.0245336,-12.1311497,https://www.clinicaavendanoperu.com/
00016918,AVENIDA AV LA ROSA TORO 1250 URB JACARANDA II DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,PUBLICO,INSTITUTO NACIONAL DE SALUD NIÑO SAN BORJA,"""http://maps.google.es/?q=-12.0853791%20-76.9919372,INSASU20181212162323.JPG,INSASU20181212162328.JPG,INSASU20181212162333.JPG,""",INSTITUTOS DE SALUD ESPECIALIZADOS,renipress@insnsb.gob.pe,-76.9919372,-12.0853791,https://www.insnsb.gob.pe/
00017024,AVENIDA AV FAUSTINO SANCHEZ CARRION S/N (EX. AV PERSHIN S/N) S/N AV FAUSTINO SANCHEZ CARRION S/N (EX. AV PERSHIN S/N) JESUS MARIA LIMA LIMA,PUBLICO,HOSPITAL  MILITAR LUIS ARIAS SCHEREIBER,"""http://maps.google.es/?q=-12.0871197%20-77.0619786,INSASU20180702114754.jpg,""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,HMC@MIL.PE,-77.0619786,-12.0871197,HTTP://WWW.EJERCITO.MIL.PE
00017634,AVENIDA GUARDIA CIVIL 219-225-227- 229 MZ. A2 LT. 02 URB. CORPA 1RA ZONA DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,PRIVADO,CLINICA ONCOSALUD,"""http://maps.google.es/?q=-12.0906552%20-77.0076122,INSASU20220207095631.jpg,INSASU20180717153631.jpg,INSASU20180717153636.JPG,""",HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,rnunezg@auna.pe,-77.0076122,-12.0906552,
